root@lamponubuntu2204-s-1vcpu-1gb-tor1-01:~# tcpdump -i eth0 port 22
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
15:58:17.546417 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 6780:7008, ack 1, win 501, options [nop,nop,TS val 834033525 ecr 2631073900], length 228
15:58:17.546456 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 7008:7044, ack 1, win 501, options [nop,nop,TS val 834033525 ecr 2631073900], length 36
15:58:17.546514 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 7044:7264, ack 1, win 501, options [nop,nop,TS val 834033525 ecr 2631073900], length 220
15:58:17.546554 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 7264:7300, ack 1, win 501, options [nop,nop,TS val 834033525 ecr 2631073900], length 36
15:58:17.546610 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 7300:7512, ack 1, win 501, options [nop,nop,TS val 834033525 ecr 2631073900], length 212
15:58:17.553284 IP 198.96.85.106.49154 > lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 7264, win 6779, options [nop,nop,TS val 2631073995 ecr 834033525], length 0
15:58:17.553284 IP 198.96.85.106.49154 > lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 7512, win 6775, options [nop,nop,TS val 2631073995 ecr 834033525], length 0
15:58:17.553284 IP 198.96.85.106.49154 > lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 7512, win 6847, options [nop,nop,TS val 2631073995 ecr 834033525], length 0
15:58:17.553348 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 7512:7548, ack 1, win 501, options [nop,nop,TS val 834033532 ecr 2631073995], length 36
15:58:17.557843 IP 198.96.85.106.49154 > lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 7548, win 6847, options [nop,nop,TS val 2631074001 ecr 834033532], length 0
15:58:17.649062 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 7548:7776, ack 1, win 501, options [nop,nop,TS val 834033628 ecr 2631074001], length 228
15:58:17.649183 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 7776:7812, ack 1, win 501, options [nop,nop,TS val 834033628 ecr 2631074001], length 36
15:58:17.649266 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 7812:8032, ack 1, win 501, options [nop,nop,TS val 834033628 ecr 2631074001], length 220
15:58:17.649339 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 8032:8068, ack 1, win 501, options [nop,nop,TS val 834033628 ecr 2631074001], length 36
15:58:17.649368 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 8068:8296, ack 1, win 501, options [nop,nop,TS val 834033628 ecr 2631074001], length 228
15:58:17.649404 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 8296:8332, ack 1, win 501, options [nop,nop,TS val 834033628 ecr 2631074001], length 36
15:58:17.649462 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 8332:8552, ack 1, win 501, options [nop,nop,TS val 834033628 ecr 2631074001], length 220
15:58:17.649499 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 8552:8588, ack 1, win 501, options [nop,nop,TS val 834033628 ecr 2631074001], length 36
15:58:17.649552 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 8588:8816, ack 1, win 501, options [nop,nop,TS val 834033628 ecr 2631074001], length 228
15:58:17.649609 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 8816:9072, ack 1, win 501, options [nop,nop,TS val 834033628 ecr 2631074001], length 256
15:58:17.649642 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 9072:9108, ack 1, win 501, options [nop,nop,TS val 834033628 ecr 2631074001], length 36
