root@lamponubuntu2204-s-1vcpu-1gb-tor1-01:~# tcpdump -i eth0 src 159.203.26.59
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
16:01:41.066070 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 9980:10016, ack 1, win 501, options [nop,nop,TS val 834237045 ecr 2631277445], length 36
16:01:41.066104 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 10016:10236, ack 1, win 501, options [nop,nop,TS val 834237045 ecr 2631277445], length 220
16:01:41.066301 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 10236:11020, ack 1, win 501, options [nop,nop,TS val 834237045 ecr 2631277445], length 784
16:01:41.066366 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 11020:11276, ack 1, win 501, options [nop,nop,TS val 834237045 ecr 2631277445], length 256
16:01:41.066432 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 11276:11540, ack 1, win 501, options [nop,nop,TS val 834237045 ecr 2631277445], length 264
16:01:41.066504 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 11540:11832, ack 1, win 501, options [nop,nop,TS val 834237045 ecr 2631277445], length 292
16:01:41.066555 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 11832:12060, ack 1, win 501, options [nop,nop,TS val 834237045 ecr 2631277445], length 228
16:01:41.066586 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 12060:12096, ack 1, win 501, options [nop,nop,TS val 834237045 ecr 2631277445], length 36
16:01:41.066625 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 12096:12316, ack 1, win 501, options [nop,nop,TS val 834237045 ecr 2631277445], length 220
16:01:41.066661 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 12316:12352, ack 1, win 501, options [nop,nop,TS val 834237045 ecr 2631277445], length 36
16:01:41.066723 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 12352:12580, ack 1, win 501, options [nop,nop,TS val 834237045 ecr 2631277445], length 228
16:01:41.066770 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 12580:12616, ack 1, win 501, options [nop,nop,TS val 834237046 ecr 2631277445], length 36
16:01:41.066835 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 12616:12836, ack 1, win 501, options [nop,nop,TS val 834237046 ecr 2631277445], length 220
16:01:41.066885 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 12836:12872, ack 1, win 501, options [nop,nop,TS val 834237046 ecr 2631277445], length 36
16:01:41.066943 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 12872:13100, ack 1, win 501, options [nop,nop,TS val 834237046 ecr 2631277445], length 228
